,V11-force,V12-force,V13-force,V14-force,V15-force,V16-force,V17-force,V18-force,V19-force,V20-force,V21-force,V22-force,V23-force,V24-force,V25-force,V26-force,V27-force
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00122467,0.00135026,0.00132989,0.00144275,0.00147352,0.00130698,0.0014085,0.00116365
2,0.0,1.43128e-11,0.0,1.44977e-11,1.083482e-14,6.73139599245e-09,0.0,2.90893e-12,4.30266e-14,0.00435596,0.00332388,0.00328396,0.0036785,0.0036181,0.00333645,0.00354507,0.0039207800000000004
3,0.0,1.49306e-08,1.925025e-14,1.2118e-07,1.17976e-14,1.13113e-07,0.0,4.646752e-07,2.18199e-14,0.00897919,0.00613678,0.007758305,0.0069976,0.00672333,0.00817921,0.00660367,0.00781293
4,0.0,2.77173e-08,5.58593e-14,2.4921899999999998e-06,5.9215e-15,2.6857e-07,0.0,3.19817e-06,2.14947e-14,0.0131449,0.00988272,0.0140627,0.0115031,0.0108849,0.0151203,0.01313405,0.0115077
5,0.0,4.26248e-08,6.21868e-14,8.34519e-06,5.15727e-16,7.87547e-07,0.0,8.61814e-06,1.566857e-14,0.0180196,0.01750535,0.0195185,0.0172346,0.0161754,0.0210376,0.0218062,0.0160082
6,0.0,1.03537e-07,1.0744e-14,1.29636e-05,8.774174999999999e-14,1.66727e-06,3.78663e-14,1.5352e-05,1.93372e-13,0.0269281,0.0267056,0.0256392,0.0239292,0.0224113,0.0275885,0.0285674,0.0239814
7,0.0,3.21148e-07,2.59754e-14,3.00525e-05,2.91212e-14,5.7319e-06,2.29465e-14,2.80436e-05,1.21084e-14,0.0367132,0.0335684,0.0322611,0.0312791,0.0327446,0.0346255,0.0357305,0.0326744
8,0.0,1.9836623e-06,2.3816e-14,5.00867e-05,2.20441e-14,9.99008e-06,4.13879e-14,5.17976e-05,4.63069e-14,0.0431886,0.0406939,0.0391983,0.0430566,0.0435377,0.0418622,0.043035,0.0387105
9,0.0,2.3086e-06,3.69583e-15,7.12278e-05,2.70501e-14,2.0185e-05,2.24091e-14,8.18072e-05,1.88448e-13,0.0496479,0.0477076,0.0461507,0.0544951,0.0507691,0.0488946,0.0501437,0.047410900000000006
10,0.0,6.52283e-06,3.4225e-15,0.000104855,1.2515285e-14,3.21868e-05,7.8507e-15,0.000118597,1.72597e-14,0.05862795,0.054327,0.0557307,0.0612183,0.0573875,0.0553799,0.0568969,0.0553952
